player,position,base_value,projected_points,points_is_real,auction_eligible,eligibility_reason
Mark Andrews,TE,11.0,128.18,True,True,not a confirmed keeper or college-rights hold
AD Mitchell,WR,11.0,145.99444444444444,False,True,not a confirmed keeper or college-rights hold
Jayden Higgins,WR,10.0,132.72222222222223,False,True,not a confirmed keeper or college-rights hold
Tank Bigsby,RB,9.0,68.64,True,True,not a confirmed keeper or college-rights hold
Braelon Allen,RB,9.0,68.77,True,True,not a confirmed keeper or college-rights hold
Dallas Goedert,TE,9.0,119.45,True,True,not a confirmed keeper or college-rights hold
Isaiah Likely,TE,8.0,115.25,True,True,not a confirmed keeper or college-rights hold
Jake Ferguson,TE,8.0,117.94,True,True,not a confirmed keeper or college-rights hold
Xavier Worthy,WR,8.0,118.5,True,True,not a confirmed keeper or college-rights hold
Dalton Kincaid,TE,8.0,118.1,True,True,not a confirmed keeper or college-rights hold
Dak Prescott,QB,7.0,278.54,True,True,not a confirmed keeper or college-rights hold
Ray Davis,RB,7.0,61.54,True,True,not a confirmed keeper or college-rights hold
Justin Herbert,QB,6.0,263.56,True,True,not a confirmed keeper or college-rights hold
Juwan Johnson,TE,5.0,111.55,True,True,not a confirmed keeper or college-rights hold
Brenton Strange,TE,5.0,112.65,True,True,not a confirmed keeper or college-rights hold
Kimani Vidal,RB,5.0,54.72,True,True,not a confirmed keeper or college-rights hold
Rashid Shaheed,WR,5.0,105.92,True,True,not a confirmed keeper or college-rights hold
Samaje Perine,RB,4.0,68.35,True,True,not a confirmed keeper or college-rights hold
Dalton Schultz,TE,4.0,109.4,True,True,not a confirmed keeper or college-rights hold
Cooper Kupp,WR,4.0,69.66,True,True,not a confirmed keeper or college-rights hold
James Conner,RB,4.0,42.62,True,True,not a confirmed keeper or college-rights hold
Chris Rodriguez Jr,RB,3.0,110.29,True,True,not a confirmed keeper or college-rights hold
Jared Goff,QB,3.0,261.71,True,True,not a confirmed keeper or college-rights hold
Patrick Mahomes,QB,3.0,254.26,True,True,not a confirmed keeper or college-rights hold
Keenan Allen,WR,3.0,80.85,True,True,not a confirmed keeper or college-rights hold
Chig Okonkwo,TE,3.0,98.45,True,True,not a confirmed keeper or college-rights hold
Justice Hill,RB,2.0,57.9,True,True,not a confirmed keeper or college-rights hold
Keon Coleman,WR,2.0,60.6,True,True,not a confirmed keeper or college-rights hold
Adonai Mitchell,WR,2.0,84.34,True,True,not a confirmed keeper or college-rights hold
De'Zhaun Stribling,WR,2.0,92.85,True,True,not a confirmed keeper or college-rights hold
Jordan Love,QB,2.0,256.74,True,True,not a confirmed keeper or college-rights hold
Trey Benson,RB,2.0,11.03,True,True,not a confirmed keeper or college-rights hold
