player,position,base_value,projected_points,points_is_real,auction_eligible,eligibility_reason
Brenen Thompson,WR,0.0,36.51,True,True,not a confirmed keeper or college-rights hold
Dawson Knox,TE,0.0,58.6,True,True,not a confirmed keeper or college-rights hold
Joe Mixon,RB,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Bam Knight,RB,0.0,6.21,True,True,not a confirmed keeper or college-rights hold
Luke McCaffrey,WR,0.0,24.25,True,True,not a confirmed keeper or college-rights hold
Kendrick Bourne,WR,0.0,56.62,True,True,not a confirmed keeper or college-rights hold
Bryce Lance,WR,0.0,36.45,True,True,not a confirmed keeper or college-rights hold
Malik Benson,WR,0.0,41.85,True,True,not a confirmed keeper or college-rights hold
Eli Heidenreich,RB,0.0,20.8,True,True,not a confirmed keeper or college-rights hold
Ja'Tavion Sanders,TE,0.0,29.55,True,True,not a confirmed keeper or college-rights hold
Treylon Burks,WR,0.0,37.54,True,True,not a confirmed keeper or college-rights hold
Mac Jones,QB,0.0,27.06,True,True,not a confirmed keeper or college-rights hold
Noah Gray,TE,0.0,42.1,True,True,not a confirmed keeper or college-rights hold
Joshua Palmer,WR,0.0,37.3,True,True,not a confirmed keeper or college-rights hold
Devontez Walker,WR,0.0,35.2,True,True,not a confirmed keeper or college-rights hold
Jaylin Lane,WR,0.0,21.12,True,True,not a confirmed keeper or college-rights hold
Xavier Hutchinson,WR,0.0,33.06,True,True,not a confirmed keeper or college-rights hold
Jalen Tolbert,WR,0.0,43.35,True,True,not a confirmed keeper or college-rights hold
Charlie Kolar,TE,0.0,48.57,True,True,not a confirmed keeper or college-rights hold
Elijah Arroyo,TE,0.0,52.8,True,True,not a confirmed keeper or college-rights hold
Michael Mayer,TE,0.0,58.35,True,True,not a confirmed keeper or college-rights hold
Carson Beck,QB,0.0,51.46,True,True,not a confirmed keeper or college-rights hold
Olamide Zaccheaus,WR,0.0,41.59,True,True,not a confirmed keeper or college-rights hold
