player,position,nfl_team,projected_points,pass_yd,pass_td,interception,rush_yd,rush_td,reception,rec_yd,rec_td,fumble_lost,two_pt
Kaytron Allen,RB,WAS,42.77,,,,218.0,1.6,7.8,72.7,0.2,0.6,0.1
George Holani,RB,SEA,36.01,,,,171.0,1.2,8.0,59.1,0.3,0.1,0.1
T.J. Hockenson,TE,MIN,103.35,,,,,,57.5,542.0,3.4,0.1,0.1
Jacoby Brissett,QB,ARI,179.82,2778.0,17.4,7.2,131.0,0.8,,,,2.8,0.6
Chris Bell,WR,MIA,59.45,,,,1.0,,27.9,330.0,2.1,0.1,0.0
Jauan Jennings,WR,MIN,89.4,,,,,,40.4,494.0,3.3,0.1,0.1
Zachariah Branch,WR,ATL,63.51,,,,9.1,0.2,29.2,348.0,2.0,0.0,0.0
Oronde Gadsden,TE,LAC,72.1,,,,,,34.0,389.0,2.7,0.1,0.1
Gunnar Helm,TE,TEN,85.2,,,,,,46.4,428.0,3.2,0.1,0.1
Tyrone Tracy Jr.,RB,NYG,72.35,,,,390.0,1.7,15.7,123.0,0.7,0.6,0.0
Rashod Bateman,WR,BAL,79.23,,,,1.3,,32.4,419.0,3.5,0.1,0.1
Jaydon Blue,RB,DAL,54.64,,,,263.0,2.0,11.9,81.9,0.4,0.2,0.1
James Conner,RB,ARI,42.62,,,,186.0,1.4,10.1,79.7,0.6,0.6,0.1
Adam Randall,RB,BAL,33.18,,,,137.0,1.1,7.9,73.3,0.3,0.1,0.0
Tyquan Thornton,WR,KC,57.5,,,,,,20.0,337.0,2.3,0.0,0.0
Antonio Williams,WR,WAS,51.37,,,,6.7,0.0,23.6,281.0,1.8,0.0,0.0
Jahan Dotson,WR,ATL,66.13,,,,5.3,,28.6,375.0,2.3,0.1,0.1
Malachi Fields,WR,NYG,69.38,,,,2.3,,31.7,395.0,2.3,0.1,0.1
Jack Bech,WR,LV,58.15,,,,3.0,,28.1,326.0,1.9,0.1,0.0
Cooper Kupp,WR,SEA,69.66,,,,1.1,,31.3,377.0,2.7,0.1,0.1
Sean Tucker,RB,TB,48.94,,,,252.0,2.8,5.9,37.9,0.2,0.6,0.1
Ted Hurst III,WR,TB,61.33,,,,4.3,,28.4,341.0,2.1,0.0,0.0
Malik Davis,RB,DAL,30.01,,,,162.0,1.1,5.4,41.1,0.1,0.1,0.0
Fernando Mendoza,QB,LV,171.1,2515.0,15.9,9.1,179.0,1.7,,,,2.4,0.9
Darnell Mooney,WR,NYG,63.83,,,,4.8,,25.9,366.0,2.3,0.0,0.0
Isaac TeSlaa,WR,DET,66.3,,,,3.0,,25.6,356.0,2.9,0.0,0.1
Colby Parkinson,TE,LAR,62.2,,,,,,29.6,294.0,3.0,0.1,0.1
Darren Waller,TE,CAR,82.85,,,,,,39.3,440.0,3.2,0.1,0.1
Kimani Vidal,RB,LAC,54.72,,,,243.0,1.9,12.2,93.2,0.6,0.1,0.1
Geno Smith,QB,NYJ,177.54,2921.0,17.9,13.1,151.0,0.9,,,,3.0,0.4
Aaron Rodgers,QB,PIT,191.83,3019.0,20.0,7.8,60.7,0.4,,,,1.8,0.9
Seth McGowan,RB,IND,34.66,,,,168.0,1.0,7.5,69.1,0.2,0.1,0.1
Jaylen Wright,RB,MIA,47.44,,,,246.0,1.8,8.8,66.4,0.2,0.2,0.1
Samaje Perine,RB,CIN,68.35,,,,279.0,2.6,16.3,121.0,0.8,0.3,0.2
Michael Penix Jr.,QB,ATL,122.75,2039.0,12.8,8.3,63.9,0.4,,,,1.9,0.8
Tank Dell,WR,HOU,58.82,,,,12.7,0.0,23.7,309.0,2.5,0.1,0.0
Calvin Ridley,WR,TEN,72.14,,,,6.4,,28.4,425.0,2.5,0.1,0.0
Justice Hill,RB,BAL,57.9,,,,127.0,0.9,25.8,205.0,1.1,0.2,0.1
Isaiah Davis,RB,NYJ,45.95,,,,181.0,1.4,13.9,113.0,0.2,0.1,0.1
Charlie Kolar,TE,LAC,48.57,,,,0.7,,22.4,265.0,1.8,0.1,0.1
Germie Bernard,WR,PIT,67.71,,,,6.1,0.0,31.2,377.0,2.3,0.1,0.1
Cade Otton,TE,TB,85.45,,,,,,46.9,458.0,2.7,0.1,0.1
Xavier Legette,WR,CAR,60.63,,,,6.3,0.0,28.2,315.0,2.4,0.1,0.1
Tahj Brooks,RB,CIN,23.18,,,,113.0,1.0,3.9,33.3,0.1,0.1,0.1
Keon Coleman,WR,BUF,60.6,,,,6.0,,25.4,317.0,2.6,0.0,0.0
Eli Raridon,TE,NE,33.55,,,,,,17.7,181.0,1.1,0.0,0.0
Darius Slayton,WR,NYG,55.66,,,,2.6,,23.4,337.0,1.7,0.1,0.0
Emanuel Wilson,RB,SEA,38.92,,,,190.0,1.5,8.7,61.7,0.1,0.1,0.0
Treylon Burks,WR,WAS,37.54,,,,5.9,,16.1,205.0,1.4,0.1,0.1
Ollie Gordon II,RB,MIA,32.75,,,,157.0,1.4,5.9,39.0,0.3,0.1,0.1
Jordan James,RB,SF,50.45,,,,247.0,1.9,9.8,78.5,0.3,0.2,0.1
Kendre Miller,RB,NO,19.51,,,,104.0,0.6,4.0,29.1,0.1,0.1,0.1
Chris Brooks,RB,GB,38.97,,,,136.0,1.2,12.5,89.2,0.5,0.1,0.1
Pat Freiermuth,TE,PIT,96.9,,,,,,47.4,516.0,3.6,0.1,0.1
Evan Engram,TE,DEN,59.49,,,,1.4,0.0,34.1,303.0,2.0,0.1,0.1
Bryce Lance,WR,NO,36.45,,,,,,17.7,210.0,1.1,0.0,0.0
Xavier Hutchinson,WR,HOU,33.06,,,,5.6,0.0,15.2,185.0,1.1,0.1,0.0
Joshua Palmer,WR,BUF,37.3,,,,,,16.2,214.0,1.3,0.0,0.0
DeMario Douglas,WR,NE,61.67,,,,37.2,0.1,26.5,327.0,1.9,0.1,0.1
Tua Tagovailoa,QB,ATL,103.67,1780.0,10.8,7.0,30.7,0.1,,,,2.0,1.8
Malik Benson,WR,LV,41.85,,,,,,19.5,237.0,1.4,0.0,0.0
Troy Franklin,WR,DEN,51.54,,,,8.9,0.0,22.9,268.0,2.1,0.1,0.0
Tory Horton,WR,SEA,55.15,,,,3.0,,23.1,301.0,2.2,0.0,0.0
Jake Tonges,TE,SF,46.75,,,,,,25.5,240.0,1.7,0.1,0.0
Michael Mayer,TE,LV,58.35,,,,,,32.1,315.0,1.8,0.1,0.1
Elijah Sarratt,WR,BAL,45.38,,,,1.3,,20.3,243.0,1.8,0.0,0.0
Shedeur Sanders,QB,CLE,101.58,1542.0,9.1,5.8,115.0,1.0,,,,1.5,0.3
Deshaun Watson,QB,CLE,101.26,1494.0,9.0,5.7,129.0,1.1,,,,1.6,0.3
David Njoku,TE,LAC,56.0,,,,,,28.2,263.0,2.6,0.1,0.1
DJ Giddens,RB,IND,33.72,,,,142.0,1.1,9.0,66.2,0.3,0.1,0.1
Marlin Klein,TE,HOU,27.9,,,,,,14.2,148.0,1.0,0.0,0.0
Kirk Cousins,QB,LV,50.52,875.0,5.5,3.0,15.2,0.1,,,,1.5,0.2
Ashton Dulin,WR,IND,25.13,,,,10.3,0.0,8.6,156.0,0.7,0.0,0.0
Skyler Bell,WR,BUF,38.52,,,,1.7,,17.7,217.0,1.3,0.0,0.0
Darnell Washington,TE,PIT,60.1,,,,,,29.0,314.0,2.4,0.1,0.0
