player,position,nfl_team,auction_eligible,public_rank,public_tier,base_value,fallback_source,fallback_points,fallback_confidence,classification,identity_issue,expected_draft_probability_HEURISTIC
Drew Sample,TE,CIN,True,495,16,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Nate Boerkircher,TE,JAC,True,507,16,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Nate Adkins,TE,DEN,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Cade Stover,TE,HOU,True,479,15,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Jack Endries,TE,CIN,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Luke Schoonmaker,TE,DAL,True,512,16,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Luke Musgrave,TE,GB,True,400,14,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Corey Kiner,RB,NE,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Foster Moreau,TE,HOU,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Bauer Sharp,TE,TB,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Dallen Bentley,TE,DEN,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Mo Alie-Cox,TE,IND,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Will Shipley,RB,PHI,True,325,13,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Charlie Woerner,TE,ATL,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
Isaiah Williams,WR,NYJ,True,424,15,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Jaylin Lane,WR,WAS,True,396,14,0.0,"mock_draft.points.points_for (position-specific ratio, capped)",0.0,"LOW (imputed, no real projection)",LIKELY_DOLLAR_ONE_PLAYER,False,0.35
Thomas Fidone II,TE,NYG,False,,,,,,N/A (not auction-eligible),UNLIKELY_TO_BE_DRAFTED,False,0.02
