"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"104",8,"Matthew Stafford",LAR,"QB15","11","4 out of 5","2 out of 5","3 out of 5 stars","-14","+3.3","62% (10/16)"
"105",8,"Jakobi Meyers",JAC,"WR45","7","2 out of 5","3 out of 5","4 out of 5 stars","+15","-1.4","33% (5/15)"
"106",8,"Jordan Addison",MIN,"WR46","6","4 out of 5","3 out of 5","5 out of 5 stars","+1","-0.4","30% (4/13)"
"107",8,"Jared Goff",DET,"QB16","6","3 out of 5","2 out of 5","5 out of 5 stars","+17","+0.8","43% (7/16)"
"108",8,"Makai Lemon",PHI,"WR47","10","4 out of 5","3 out of 5","4 out of 5 stars","+7","-","-"
"109",8,"Blake Corum",LAR,"RB36","11","4 out of 5","4 out of 5","5 out of 5 stars","-8","+2.1","56% (9/16)"
"110",8,"Dalton Kincaid",BUF,"TE11","7","3 out of 5","4 out of 5","3 out of 5 stars","+12","+1.6","54% (6/11)"
"111",8,"Rachaad White",WAS,"RB37","7","4 out of 5","3 out of 5","4 out of 5 stars","+5","-1.2","37% (6/16)"
"112",8,"Kyler Murray",MIN,"QB17","6","4 out of 5","3 out of 5","5 out of 5 stars","+25","-","-"
"113",8,"Jacory Croskey-Merritt",WAS,"RB38","7","4 out of 5","4 out of 5","4 out of 5 stars","-7","-0.2","37% (6/16)"
"114",8,"Jordan Mason",MIN,"RB39","6","4 out of 5","3 out of 5","4 out of 5 stars","-11","-1.0","33% (5/15)"
"115",8,"Aaron Jones Sr.",MIN,"RB40","6","1 out of 5","4 out of 5","4 out of 5 stars","+3","-1.3","33% (4/12)"
"116",8,"Kyle Monangai",CHI,"RB41","10","4 out of 5","4 out of 5","2 out of 5 stars","-16","+1.2","43% (7/16)"
"117",8,"KC Concepcion",CLE,"WR48","11","4 out of 5","3 out of 5","3 out of 5 stars","+9","-","-"
"118",8,"Dallas Goedert",PHI,"TE12","10","4 out of 5","3 out of 5","4 out of 5 stars","-7","+1.9","53% (8/15)"
"119",8,"Jake Ferguson",DAL,"TE13","14","2 out of 5","4 out of 5","2 out of 5 stars","-5","+0.3","50% (8/16)"
"120",8,"Baker Mayfield",TB,"QB18","10","3 out of 5","4 out of 5","2 out of 5 stars","+15","-0.9","56% (9/16)"
"121",8,"Jordan Love",GB,"QB19","11","4 out of 5","3 out of 5","4 out of 5 stars","+26","-1.2","46% (7/15)"
"122",8,"Isaiah Likely",NYG,"TE14","8","4 out of 5","4 out of 5","3 out of 5 stars","-17","-1.9","23% (3/13)"
"123",8,"Khalil Shakir",BUF,"WR49","7","2 out of 5","4 out of 5","4 out of 5 stars","+18","-1.1","37% (6/16)"
"124",8,"Jalen Coker",CAR,"WR50","5","4 out of 5","3 out of 5","2 out of 5 stars","+22","+0.5","40% (4/10)"
"125",8,"Tyler Shough",NO,"QB20","8","4 out of 5","2 out of 5","3 out of 5 stars","+25","+1.6","46% (7/15)"
"126",8,"Romeo Doubs",NE,"WR51","11","4 out of 5","3 out of 5","2 out of 5 stars","+3","-0.4","43% (7/16)"
"127",8,"Matthew Golden",GB,"WR52","11","4 out of 5","4 out of 5","5 out of 5 stars","-2","-2.6","23% (3/13)"
"128",8,"Malik Willis",MIA,"QB21","6","4 out of 5","4 out of 5","3 out of 5 stars","+37","+1.8","26% (4/15)"
"129",9,"Xavier Worthy",KC,"WR53","5","4 out of 5","4 out of 5","2 out of 5 stars","-1","-3.4","14% (2/14)"
"130",9,"Juwan Johnson",NO,"TE15","8","4 out of 5","2 out of 5","2 out of 5 stars","+21","+1.1","50% (8/16)"
"131",9,"Mark Andrews",BAL,"TE16","13","4 out of 5","4 out of 5","4 out of 5 stars","-4","-1.1","25% (4/16)"
"132",9,"Jordyn Tyson",NO,"WR54","8","3 out of 5","5 out of 5","3 out of 5 stars","+6","-","-"
"133",9,"Woody Marks",HOU,"RB42","8","3 out of 5","4 out of 5","4 out of 5 stars","0","+0.1","40% (6/15)"
"134",9,"De'Zhaun Stribling",SF,"WR55","8","4 out of 5","4 out of 5","2 out of 5 stars","-13","-","-"
"135",9,"Tyjae Spears",TEN,"RB43","9","3 out of 5","4 out of 5","3 out of 5 stars","+10","-0.2","25% (3/12)"
