player,position,nfl_team,projected_points,VBD_score,suggested_auction_price,historical_salary_if_known,notes
Greg Dortch,WR,DET,31.14,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #429, tier 15"
Marlin Klein,TE,HOU,27.9,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #443, tier 15"
Brenen Thompson,WR,LAC,36.51,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #349, tier 14"
Jahdae Walker,WR,CHI,29.43,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #457, tier 15"
DeAndre Hopkins,WR,BAL,2.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #467, tier 15"
Josh Oliver,TE,MIN,33.3,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #468, tier 15"
Tyler Lockett,WR,LV,22.8,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #471, tier 15"
Tim Patrick,WR,NYJ,14.07,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #481, tier 15"
Jackson Hawes,TE,BUF,26.45,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #487, tier 16"
Adam Trautman,TE,DEN,28.15,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #496, tier 16"
Tanner Hudson,TE,CIN,18.22,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #510, tier 16"
Tyler Conklin,TE,DET,2.97,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #511, tier 16"
Devontez Walker,WR,BAL,35.2,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #397, tier 14"
CJ Daniels,WR,LAR,23.65,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #394, tier 14"
Demarcus Robinson,WR,SF,28.84,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #393, tier 14"
Phil Mafah,RB,DAL,14.11,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #391, tier 14"
Joshua Palmer,WR,BUF,37.3,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #351, tier 14"
Elijah Sarratt,WR,BAL,45.38,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #274, tier 12"
Mac Jones,QB,SF,27.06,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #353, tier 14"
Treylon Burks,WR,WAS,37.54,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #356, tier 14"
Ja'Tavion Sanders,TE,CAR,29.55,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #357, tier 14"
Malik Benson,WR,LV,41.85,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #363, tier 14"
Justin Fields,QB,KC,40.19,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #364, tier 14"
Jawhar Jordan,RB,HOU,21.18,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #365, tier 14"
Roman Wilson,WR,PIT,42.4,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #367, tier 14"
Savion Williams,WR,GB,38.77,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #372, tier 14"
Kalif Raymond,WR,CHI,32.99,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #375, tier 14"
KaVontae Turpin,WR,DAL,56.6,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #376, tier 14"
Raheim Sanders,RB,CLE,16.41,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #378, tier 14"
Zavion Thomas,WR,CHI,32.09,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #381, tier 14"
Colbie Young,WR,CIN,33.1,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #382, tier 14"
Noah Fant,TE,NO,29.15,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #383, tier 14"
Joe Flacco,QB,CIN,28.58,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #386, tier 14"
Tutu Atwell,WR,LAR,22.9,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #387, tier 14"
John Metchie III,WR,CAR,27.49,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #389, tier 14"
Christian Kirk,WR,SF,37.77,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #275, tier 12"
LeQuint Allen Jr.,RB,JAC,38.64,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #265, tier 12"
Chris Brooks,RB,GB,38.97,0.3299999999999983,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #273, tier 12"
C.J. Stroud,QB,HOU,245.14,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #139, tier 9"
Luther Burden,WR,,,,1.0,1.0,
Jordan Love,QB,GB,256.74,0.4200000000000159,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #121, tier 8"
Troy Franklin,WR,,51.54,0.0,1.0,1.0,
Tyler Shough,QB,NO,258.88,2.5600000000000023,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #125, tier 8"
Malik Willis,QB,MIA,253.88,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #128, tier 8"
Matthew Stafford,QB,,250.22,0.0,1.0,1.0,
Emanuel Wilson,RB,,38.92,0.28000000000000114,1.0,1.0,
