player,position,nfl_team,projected_points,VBD_score,suggested_auction_price,hypothetical_open_market_value,historical_salary_if_known,notes
Dont'e Thornton Jr.,WR,LV,,,0.0,1.0,15.0,"not on a 2025 league roster -- FantasyPros 2026 rank #380, tier 14; anchor imputed via position_median_fallback"
Zavion Thomas,WR,CHI,32.09,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #381, tier 14"
Colbie Young,WR,CIN,33.1,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #382, tier 14"
Noah Fant,TE,NO,29.15,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #383, tier 14"
Roschon Johnson,RB,CHI,12.5,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #398, tier 14"
Max Klare,TE,LAR,,,0.0,1.0,1.0,"not on a 2025 league roster -- FantasyPros 2026 rank #350, tier 14; anchor imputed via position_median_fallback"
Brenen Thompson,WR,LAC,36.51,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #349, tier 14"
Dawson Knox,TE,BUF,58.6,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #348, tier 14"
Joe Mixon,RB,FA,,,0.0,1.0,1.0,"not on a 2025 league roster -- FantasyPros 2026 rank #346, tier 13; anchor imputed via tier_median_fallback"
Bam Knight,RB,ARI,6.21,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #344, tier 13"
Luke McCaffrey,WR,WAS,24.25,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #343, tier 13"
Kendrick Bourne,WR,ARI,56.62,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #342, tier 13"
Bryce Lance,WR,NO,36.45,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #328, tier 13"
Malik Benson,WR,LV,41.85,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #363, tier 14"
Eli Heidenreich,RB,PIT,,,0.0,1.0,1.0,"not on a 2025 league roster -- FantasyPros 2026 rank #360, tier 14; anchor imputed via tier_median_fallback"
Ja'Tavion Sanders,TE,CAR,29.55,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #357, tier 14"
Treylon Burks,WR,WAS,37.54,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #356, tier 14"
Chris Brazzell II,WR,CAR,,,0.0,1.0,15.0,"not on a 2025 league roster -- FantasyPros 2026 rank #354, tier 14; anchor imputed via position_median_fallback"
Mac Jones,QB,SF,27.06,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #353, tier 14"
Noah Gray,TE,KC,42.1,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #352, tier 14"
Joshua Palmer,WR,BUF,37.3,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #351, tier 14"
Jalen Royals,WR,KC,,,0.0,1.0,5.0,"not on a 2025 league roster -- FantasyPros 2026 rank #341, tier 13; anchor imputed via tier_median_fallback"
Devontez Walker,WR,BAL,35.2,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #397, tier 14"
