seed,team,player,position,price,projected_points,is_starting_qb,is_starting_rb,is_starting_wr,is_starting_te,is_starting_flex,is_starter
0,Ryan J,Brian Robinson Jr,RB,6.145120000000001,77.14,False,False,False,False,False,False
0,Ryan J,Michael Pittman Jr,WR,5.81673888888889,137.83,False,False,False,False,True,True
0,Sam,Garrett Wilson,WR,31.0,163.37,False,False,True,False,False,True
0,Sam,Kenneth Walker III,RB,36.0,217.65,False,True,False,False,False,True
0,Sam,Quentin Johnston,WR,11.0,125.4,False,False,False,False,False,False
0,Sam,David Montgomery,RB,45.0,176.5,False,False,False,False,True,True
0,Sam,Cam Skattebo,RB,28.0,186.4,False,False,False,False,True,True
0,Sam,Jaxson Dart,QB,11.0,273.12,False,False,False,False,False,False
0,Sam,TJ Hockenson,TE,45.0,103.35,False,False,False,True,False,True
0,Sam,Jalen Hurts,QB,28.44990277777778,297.46,False,False,False,False,False,False
0,Sam,Josh Allen,QB,30.358650000000004,328.82,True,False,False,False,False,True
0,Sam,Carnell Tate,WR,20.86,140.03,False,False,False,False,False,False
0,Sam,Mike Evans,WR,19.502116666666666,164.95,False,False,True,False,False,True
0,Sam,Austin Ekeler,RB,14.151842222222221,411.43888888888887,False,True,False,False,False,True
0,Sam,Lamar Jackson,QB,12.52636,289.92,False,False,False,False,False,False
0,Sam,Josh Downs,WR,8.311888888888891,145.07,False,False,False,False,True,True
0,Sam,Chris Godwin Jr,WR,7.99,134.26,False,False,False,False,False,False
0,Shane,MarShawn Lloyd,RB,11.0,75.39,False,False,False,False,False,False
0,Shane,Rome Odunze,WR,16.0,159.72,False,False,False,False,True,True
0,Shane,Caleb Williams,QB,16.0,271.0,True,False,False,False,False,True
0,Shane,Blake Corum,RB,11.0,134.1,False,True,False,False,False,True
0,Shane,Kyle Monangai,RB,11.0,144.3,False,True,False,False,False,True
0,Shane,Christian Watson,WR,11.0,161.94,False,False,True,False,False,True
0,Shane,DJ Moore,WR,176.73666383948895,154.17,False,False,False,False,True,True
0,Shane,Jaylen Waddle,WR,74.75844444444445,177.9,False,False,True,False,False,True
0,Shane,Khalil Shakir,WR,24.86,122.83,False,False,False,False,False,False
0,Shane,Matthew Golden,WR,6.378466666666666,127.74,False,False,False,False,False,False
0,Shane,Mike Washington Jr.,RB,5.501333333333335,80.65,False,False,False,False,False,False
