seed,team,keeper_state_status,n_players,n_qb_rostered,legal_roster,has_duplicate_player,lineup_is_legal,lineup_failure_reason,starting_lineup_points,bench_option_value,total_roster_utility,raw_all_rostered_points,budget_remaining_unspent_cash
8,Travis,PARTIALLY_CONFIRMED,15,3,True,False,True,,1471.91,106.82,1578.73,2373.04,5.93
9,Brad,PARTIALLY_CONFIRMED,15,3,True,False,True,,1558.87,105.06,1663.93,2418.9,5.52
9,Brandon,PARTIALLY_CONFIRMED,15,3,True,False,True,,2396.98,133.7,2530.68,3115.0,45.7
9,CJ,PARTIALLY_CONFIRMED,15,4,True,False,True,,1581.89,68.48,1650.37,2307.23,0.0
9,Coby,PARTIALLY_CONFIRMED,15,1,True,False,True,,1600.16,116.13,1716.29,2364.67,0.0
9,Evan,PARTIALLY_CONFIRMED,15,1,True,False,False,MISSING_TE,0.0,0.0,0.0,2709.49,15.14
9,James,PARTIALLY_CONFIRMED,15,2,True,False,True,,1569.41,62.65,1632.06,2180.64,0.0
9,Jason,PARTIALLY_CONFIRMED,15,1,True,False,True,,2513.75,81.79,2595.54,3122.47,4.78
9,Reid,PARTIALLY_CONFIRMED,15,3,True,False,True,,1498.18,114.94,1613.12,2481.67,2.27
9,Ryan J,PARTIALLY_CONFIRMED,15,2,True,False,True,,1591.91,109.75,1701.66,2339.34,7.07
9,Sam,CONFIRMED,15,2,True,False,True,,1636.3,116.1,1752.4,2450.65,0.47
9,Shane,PARTIALLY_CONFIRMED,15,2,True,False,True,,1338.58,39.09,1377.67,1616.82,0.0
9,Travis,PARTIALLY_CONFIRMED,15,2,True,False,True,,1530.01,61.87,1591.88,1931.4,0.0
10,Brad,PARTIALLY_CONFIRMED,15,2,True,False,True,,1487.65,91.25,1578.9,2141.96,9.95
10,Brandon,PARTIALLY_CONFIRMED,15,2,True,False,True,,1951.8,52.68,2004.48,2252.15,0.0
10,CJ,PARTIALLY_CONFIRMED,15,3,True,False,True,,1830.28,73.09,1903.37,2382.72,0.0
10,Coby,PARTIALLY_CONFIRMED,15,2,True,False,True,,1627.89,98.0,1725.89,2175.2,26.87
10,Evan,PARTIALLY_CONFIRMED,15,1,True,False,True,,1901.73,127.96,2029.69,2657.17,36.47
10,James,PARTIALLY_CONFIRMED,15,2,True,False,True,,2059.65,124.32,2183.97,2930.92,45.03
10,Jason,PARTIALLY_CONFIRMED,15,1,True,False,True,,1950.45,69.32,2019.77,2322.13,0.0
10,Reid,PARTIALLY_CONFIRMED,15,4,True,False,True,,1858.01,99.41,1957.42,2916.09,25.74
10,Ryan J,PARTIALLY_CONFIRMED,15,3,True,False,True,,1558.78,128.63,1687.41,2554.51,39.02
10,Sam,CONFIRMED,15,3,True,False,True,,1486.74,49.62,1536.36,1913.08,0.54
10,Shane,PARTIALLY_CONFIRMED,15,1,True,False,False,MISSING_TE,0.0,0.0,0.0,2128.2,28.6
10,Travis,PARTIALLY_CONFIRMED,15,1,True,False,True,,1585.48,98.78,1684.26,2155.14,24.18
11,Brad,PARTIALLY_CONFIRMED,15,1,True,False,True,,2036.24,113.95,2150.19,2677.69,20.95
11,Brandon,PARTIALLY_CONFIRMED,15,2,True,False,True,,1974.09,140.81,2114.9,2835.37,14.89
11,CJ,PARTIALLY_CONFIRMED,15,0,True,False,False,MISSING_QB,0.0,0.0,0.0,2637.03,37.03
11,Coby,PARTIALLY_CONFIRMED,15,1,True,False,True,,1701.72,105.16,1806.88,2312.25,3.46
11,Evan,PARTIALLY_CONFIRMED,15,2,True,False,True,,2299.16,128.08,2427.24,3068.92,0.0
11,James,PARTIALLY_CONFIRMED,15,1,True,False,True,,1513.4,71.84,1585.24,1951.33,0.0
11,Jason,PARTIALLY_CONFIRMED,15,2,True,False,True,,1944.65,71.55,2016.2,2644.29,0.95
11,Reid,PARTIALLY_CONFIRMED,15,2,True,False,True,,1417.14,66.29,1483.43,1892.76,0.03
11,Ryan J,PARTIALLY_CONFIRMED,15,3,True,False,True,,1476.24,76.86,1553.1,2237.41,0.0
11,Sam,CONFIRMED,15,2,True,False,True,,1637.0,132.67,1769.67,2434.33,17.94
11,Shane,PARTIALLY_CONFIRMED,15,1,True,False,False,MISSING_TE,0.0,0.0,0.0,2084.85,6.15
11,Travis,PARTIALLY_CONFIRMED,15,1,True,False,True,,1481.64,86.09,1567.73,1955.56,0.0
12,Brad,PARTIALLY_CONFIRMED,15,2,True,False,True,,1556.93,89.39,1646.32,2184.47,0.0
12,Brandon,PARTIALLY_CONFIRMED,15,0,True,False,False,MISSING_QB,0.0,0.0,0.0,2433.34,0.0
12,CJ,PARTIALLY_CONFIRMED,15,2,True,False,True,,1741.46,78.83,1820.29,2338.33,1.7
12,Coby,PARTIALLY_CONFIRMED,15,2,True,False,True,,1574.67,69.06,1643.73,2084.85,0.0
12,Evan,PARTIALLY_CONFIRMED,15,2,True,False,True,,1956.77,78.72,2035.49,2507.44,0.98
12,James,PARTIALLY_CONFIRMED,15,1,True,False,True,,2269.15,135.28,2404.43,3028.85,21.48
12,Jason,PARTIALLY_CONFIRMED,15,2,True,False,True,,1949.76,119.04,2068.8,2528.84,22.18
12,Reid,PARTIALLY_CONFIRMED,15,2,True,False,True,,1877.59,117.19,1994.78,2756.9,22.34
12,Ryan J,PARTIALLY_CONFIRMED,15,3,True,False,True,,1512.32,112.46,1624.78,2429.28,0.0
12,Sam,CONFIRMED,15,3,True,False,True,,1639.88,98.99,1738.87,2529.82,6.61
12,Shane,PARTIALLY_CONFIRMED,15,2,True,False,True,,1430.79,91.82,1522.61,2008.78,0.0
12,Travis,PARTIALLY_CONFIRMED,15,1,True,False,True,,1544.21,110.6,1654.81,2129.82,0.0
13,Brad,PARTIALLY_CONFIRMED,15,1,True,False,True,,1527.97,88.16,1616.13,2008.07,1.44
13,Brandon,PARTIALLY_CONFIRMED,15,1,True,False,True,,1900.26,107.73,2007.99,2614.88,34.96
13,CJ,PARTIALLY_CONFIRMED,15,1,True,False,True,,2015.69,112.1,2127.79,2602.41,41.98
13,Coby,PARTIALLY_CONFIRMED,15,1,True,False,True,,1764.95,124.54,1889.49,2443.97,40.26
13,Evan,PARTIALLY_CONFIRMED,15,0,True,False,False,MISSING_QB,0.0,0.0,0.0,2151.94,2.26
13,James,PARTIALLY_CONFIRMED,15,2,True,False,True,,1622.95,133.44,1756.39,2453.42,44.12
13,Jason,PARTIALLY_CONFIRMED,15,2,True,False,True,,1989.65,69.77,2059.42,2461.34,0.0
13,Reid,PARTIALLY_CONFIRMED,15,4,True,False,True,,1649.26,104.37,1753.63,2294.26,0.0
