pick,nomination_number,player,position,tier,nominating_team,nominator,winning_team,winner,sale_price,price,bidder_count,second_highest_bid,sale_is_organic,sale_has_competing_bid,forced_final_slot,budget_before,budget_after,slots_before,slots_after,minimum_reserve_after,winner_archetype,seed
24,24,Jalen Hurts,QB,1,Evan,Evan,Shane,Shane,27.781716666666668,27.781716666666668,9,26.880614677834206,True,True,False,134.79,107.01,5,4,4,price_enforcer,1
25,25,Davante Adams,WR,2,Brandon,Brandon,Sam,Sam,34.29,34.29,10,34.22906666666667,True,True,False,39.29,5.0,6,5,5,value_purist,1
26,26,Jacory Croskey-Merritt,RB,4,Shane,Shane,Jason,Jason,34.09941111111111,34.09941111111111,8,34.07,True,True,False,166.7,132.6,8,7,7,price_enforcer,1
27,27,Matthew Golden,WR,4,Jason,Jason,Ryan J,Ryan J,27.938666666666666,27.938666666666666,7,26.938666666666666,True,True,False,40.07,12.13,7,6,6,value_purist,1
28,28,Courtland Sutton,WR,4,Brad,Brad,Jason,Jason,25.755995000000006,25.755995000000006,8,24.755995000000006,True,True,False,132.6,106.84,7,6,6,price_enforcer,1
29,29,JK Dobbins,RB,5,Reid,Reid,James,James,22.926666666666662,22.926666666666662,8,21.926666666666662,True,True,False,91.3,68.37,5,4,4,balanced,1
30,30,Aaron Jones Sr,RB,4,Travis,Travis,Shane,Shane,21.556570000000004,21.556570000000004,8,21.0,True,True,False,107.01,85.45,4,3,3,price_enforcer,1
31,31,Mike Evans,WR,3,James,James,Jason,Jason,19.146966666666668,19.146966666666668,7,18.146966666666668,True,True,False,106.84,87.69,6,5,5,price_enforcer,1
32,32,TJ Hockenson,TE,1,Ryan J,Ryan J,Travis,Travis,18.0,18.0,8,17.0,True,True,False,88.0,70.0,8,7,7,anchor,1
33,33,Joe Burrow,QB,1,Sam,Sam,James,James,18.173333333333332,18.173333333333332,7,17.173333333333332,True,True,False,68.37,50.2,4,3,3,balanced,1
34,34,Josh Allen,QB,1,CJ,CJ,Jason,Jason,17.391849999999998,17.391849999999998,8,16.875,True,True,False,87.69,70.3,5,4,4,price_enforcer,1
35,35,Khalil Shakir,WR,5,Coby,Coby,Travis,Travis,17.039166666666667,17.039166666666667,6,16.881122222222224,True,True,False,70.0,52.96,7,6,6,anchor,1
36,36,DK Metcalf,WR,3,Evan,Evan,Shane,Shane,14.833477777777777,14.833477777777777,7,13.833477777777777,True,True,False,85.45,70.62,3,2,2,price_enforcer,1
37,37,Tyler Allgeier,RB,6,Brandon,Brandon,Shane,Shane,13.841520000000001,13.841520000000001,8,13.7788,True,True,False,70.62,56.78,2,1,1,price_enforcer,1
38,38,Josh Downs,WR,4,Shane,Shane,Jason,Jason,12.90018888888889,12.90018888888889,7,11.90018888888889,True,True,False,70.3,57.4,4,3,3,price_enforcer,1
39,39,Chris Godwin Jr,WR,3,Jason,Jason,James,James,11.852777777777778,11.852777777777778,8,11.161111111111113,True,True,False,50.2,38.35,3,2,2,balanced,1
40,40,Romeo Doubs,WR,5,Brad,Brad,Travis,Travis,12.116466666666668,12.116466666666668,7,11.116466666666668,True,True,False,52.96,40.84,6,5,5,anchor,1
41,41,Travis Kelce,TE,1,Reid,Reid,Jason,Jason,11.071822222222224,11.071822222222224,8,10.952231111111113,True,True,False,57.4,46.33,3,2,2,price_enforcer,1
42,42,Ricky Pearsall,WR,6,Travis,Travis,Shane,Shane,10.840823055555557,10.840823055555557,6,9.840823055555557,True,True,False,56.78,45.94,1,0,0,price_enforcer,1
43,43,Dylan Sampson,RB,7,James,James,James,James,9.800981666666669,9.800981666666669,6,9.62803,True,True,False,38.35,28.55,2,1,1,balanced,1
