"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jalen Tolbert","MIA","WR92","0.0","0.0","0.0","35.3","442.1","1.7","0.3","71.6"
"Malik Davis","DAL","RB61","90.9","422.0","3.1","8.6","67.2","0.2","0.6","71.4"
"Chris Brooks","GB","RB62","85.5","386.8","1.9","16.1","114.3","0.4","0.6","70.3"
"Michael Mayer","LV","TE36","0.0","0.0","0.0","40.0","376.7","2.1","0.1","70.0"
"Malachi Fields","NYG","WR93","0.0","0.0","0.0","32.7","408.0","2.2","0.3","69.7"
"Andrei Iosivas","CIN","WR94","2.5","11.0","0.0","29.5","373.3","2.7","0.1","69.6"
"Malik Benson","LV","WR95","1.0","4.0","0.0","35.3","419.0","2.0","1.1","69.5"
"Jordan James","SF","RB63","80.7","322.5","2.5","14.0","133.0","0.6","1.1","69.0"
"Najee Harris","NYG","RB64","93.6","391.8","2.6","11.1","75.5","0.2","0.2","68.9"
"Ted Hurst III","TB","WR96","1.0","6.5","0.0","28.9","389.3","2.6","0.6","68.2"
"Hollywood Brown","PHI","WR97","0.0","0.0","0.0","28.3","352.1","3.0","0.1","67.3"
"Elic Ayomanor","TEN","WR98","0.0","0.0","0.0","25.4","342.2","3.3","0.0","66.7"
"DeMario Douglas","NE","WR99","4.1","21.5","0.2","30.2","365.5","2.0","0.4","66.3"
"Chimere Dike","TEN","WR100","10.1","33.6","0.3","27.8","271.1","3.4","0.6","65.2"
"Dawson Knox","BUF","TE37","0.0","0.0","0.0","28.7","331.4","2.9","0.1","64.9"
"Zachariah Branch","ATL","WR101","0.0","0.0","0.0","31.4","381.7","1.9","0.3","64.6"
"Tyrone Tracy Jr.","NYG","RB65","79.4","337.9","1.3","15.4","113.4","0.7","0.6","63.4"
"Keon Coleman","BUF","WR102","0.0","0.0","0.0","24.4","337.9","2.8","0.2","62.5"
"Theo Johnson","NYG","TE38","0.0","0.0","0.0","28.1","313.3","2.9","0.1","62.4"
"Joshua Palmer","BUF","WR103","0.0","0.0","0.0","26.9","354.7","1.7","0.1","59.0"
"Darnell Washington","PIT","TE39","0.0","0.0","0.0","30.7","329.0","2.0","0.6","58.7"
"Pat Bryant","DEN","WR104","0.0","0.0","0.0","28.4","320.2","2.1","0.3","58.3"
"Erick All Jr.","CIN","TE40","0.0","0.0","0.0","33.1","288.5","2.1","0.1","57.7"
"Tyler Higbee","LAR","TE41","0.0","0.0","0.0","25.1","296.7","2.4","0.0","56.6"
"Ashton Dulin","IND","WR105","5.1","46.2","0.1","17.6","338.9","1.3","0.1","55.5"
"Marvin Mims Jr.","DEN","WR106","8.2","45.1","0.3","24.1","272.9","1.6","0.4","54.7"
"KaVontae Turpin","DAL","WR107","17.8","103.0","0.4","17.9","226.8","1.7","0.4","54.0"
"Cole Kmet","CHI","TE42","0.0","0.0","0.0","26.3","274.3","2.2","0.1","53.8"
"Kevin Coleman Jr.","MIA","WR108","0.0","0.0","0.0","27.1","352.0","0.9","0.3","53.3"
"Zavion Thomas","CHI","WR109","1.5","6.5","0.0","23.3","305.0","2.1","1.1","53.3"
"Kimani Vidal","LAC","RB66","60.2","234.7","1.6","11.9","104.0","0.7","0.1","53.1"
"Devontez Walker","BAL","WR110","0.0","1.5","0.0","18.2","304.8","2.2","0.1","53.0"
"Brashard Smith","KC","RB67","47.1","180.4","1.1","18.7","131.7","1.0","0.1","52.8"
"Darnell Mooney","NYG","WR111","2.2","11.9","0.1","21.5","308.4","1.7","0.2","52.8"
"Jack Bech","LV","WR112","0.0","0.0","0.0","27.7","315.2","1.2","0.3","51.9"
"Noah Fant","NO","TE43","0.0","0.0","0.0","29.9","279.7","1.6","1.6","49.5"
"Will Kacmarek","MIA","TE44","0.0","0.0","0.0","26.5","251.4","1.9","0.6","48.5"
"Jahdae Walker","CHI","WR113","0.5","3.5","0.0","17.6","232.8","2.7","0.0","48.4"
"Jaylen Wright","MIA","RB68","82.1","318.2","1.6","7.2","52.5","0.1","1.3","48.3"
"Demarcus Robinson","SF","WR114","0.5","2.5","0.0","19.3","275.9","1.8","0.0","48.2"
"Emanuel Wilson","SEA","RB69","70.2","289.5","1.7","7.7","52.1","0.0","0.5","47.3"
"Charlie Kolar","LAC","TE45","0.0","0.0","0.0","21.6","243.3","2.0","0.1","47.3"
"Mack Hollins","NE","WR115","0.0","0.0","0.0","21.5","257.8","1.6","0.2","45.8"
"Tank Dell","HOU","WR116","4.5","20.0","0.0","19.0","241.5","1.5","0.0","44.7"
"Jonah Coleman","DEN","RB70","48.8","203.1","1.6","10.2","74.8","0.4","0.2","44.3"
"Jonnu Smith","GB","TE46","0.0","0.0","0.0","22.5","204.8","2.1","0.1","43.9"
"Christian Kirk","SF","WR117","0.0","0.0","0.0","21.0","242.5","1.5","0.0","43.8"
"Brock Wright","DET","TE47","0.0","0.0","0.0","20.9","187.6","2.3","0.0","43.0"
"Cyrus Allen","KC","WR118","0.0","0.0","0.0","19.4","245.0","1.5","0.2","43.0"
"Kyle Juszczyk","SF","RB71","4.2","10.3","0.1","23.7","208.8","1.5","0.1","42.9"
"Josh Oliver","MIN","TE48","0.0","0.0","0.0","18.6","194.3","2.4","0.1","42.9"
"Luke McCaffrey","WAS","WR119","0.0","0.0","0.0","14.3","221.0","2.3","0.0","42.7"
"Daniel Bellinger","TEN","TE49","0.0","0.0","0.0","19.3","222.2","1.8","0.0","42.3"
"Kyle Williams","NE","WR120","4.1","22.4","0.2","15.9","229.7","1.4","0.2","42.2"
"Adam Trautman","DEN","TE50","0.0","0.0","0.0","21.3","216.7","1.6","0.1","42.1"
