match,seat,genome,player,position,price,projected_points,is_starting
20,Ryan J,gen15_elite0,Josh Allen,QB,24.51304347826087,328.82,False
20,Ryan J,gen15_elite0,JK Dobbins,RB,147.06,134.15,False
21,Sam,gen15_elite0,David Montgomery,RB,45.0,176.5,True
21,Sam,gen15_elite0,Tyjae Spears,RB,13.0,113.45,False
21,Sam,gen15_elite0,Trey McBride,TE,26.66508306883125,188.05,True
21,Sam,gen15_elite0,Jaylen Waddle,WR,24.441052783831793,177.9,True
21,Sam,gen15_elite0,Mike Evans,WR,22.437145217391304,164.95,True
21,Sam,gen15_elite0,Bill Croskey-Merritt,RB,20.19,459.64799999999997,True
21,Sam,gen15_elite0,Jalen Hurts,QB,18.793521565217393,297.46,False
21,Sam,gen15_elite0,Josh Allen,QB,16.15721739130435,328.82,True
21,Sam,gen15_elite0,Jameson Williams,WR,13.513029565217392,156.45,True
21,Sam,gen15_elite0,Drake Maye,QB,14.24620191304348,296.32,False
21,Sam,gen15_elite0,Matthew Golden,WR,13.691387214693869,127.74,False
21,Sam,gen15_elite0,JK Dobbins,RB,12.611382665866776,134.15,True
21,Sam,gen15_elite0,Caleb Williams,QB,12.803739898004402,271.0,False
21,Sam,gen15_elite0,Alvin Kamara,RB,10.604285015105445,68.7,False
21,Sam,gen15_elite0,Amon-Ra St Brown,WR,135.85,247.22,True
22,Shane,gen15_elite0,Rome Odunze,WR,16.0,159.72,False
22,Shane,gen15_elite0,Kyle Monangai,RB,11.0,144.3,False
22,Shane,gen15_elite0,Blake Corum,RB,11.0,134.1,False
22,Shane,gen15_elite0,Christian Watson,WR,11.0,161.94,False
22,Shane,gen15_elite0,Drake Maye,QB,33.9987700228311,296.32,False
22,Shane,gen15_elite0,Jalen Hurts,QB,27.78745657533095,297.46,False
22,Shane,gen15_elite0,Mike Evans,WR,19.679652173913045,164.95,False
22,Shane,gen15_elite0,JK Dobbins,RB,19.621278260869566,134.15,False
22,Shane,gen15_elite0,Lamar Jackson,QB,19.504530434782613,289.92,False
22,Shane,gen15_elite0,Josh Allen,QB,18.389780434782608,328.82,False
22,Shane,gen15_elite0,Caleb Williams,QB,14.46528695652174,271.0,False
22,Shane,gen15_elite0,Amon-Ra St Brown,WR,13.681127643573955,247.22,False
22,Shane,gen15_elite0,Nick Chubb,RB,12.35425082037099,372.09599999999995,False
22,Shane,gen15_elite0,Jameson Williams,WR,11.406454797988662,156.45,False
22,Shane,gen15_elite0,Joe Burrow,QB,160.11,282.7,False
23,Travis,gen15_elite0,Malik Nabers,WR,16.0,183.51,True
23,Travis,gen15_elite0,Woody Marks,RB,11.0,104.75,True
23,Travis,gen15_elite0,Davante Adams,WR,25.45,161.35,False
23,Travis,gen15_elite0,Drake Maye,QB,28.22246956521739,296.32,False
23,Travis,gen15_elite0,Jalen Hurts,QB,25.861729391304348,297.46,False
23,Travis,gen15_elite0,Tee Higgins,WR,22.34290884215419,181.9,True
23,Travis,gen15_elite0,Jayden Reed,WR,19.060535652173915,143.93,False
23,Travis,gen15_elite0,Jordan Addison,WR,18.889489610625812,131.03,False
23,Travis,gen15_elite0,Josh Allen,QB,18.895347826086958,328.82,True
23,Travis,gen15_elite0,TJ Hockenson,TE,15.359304347826088,103.35,True
23,Travis,gen15_elite0,Mike Evans,WR,14.597092051054455,164.95,True
23,Travis,gen15_elite0,Garrett Wilson,WR,12.592410869565215,163.37,True
23,Travis,gen15_elite0,AJ Brown,WR,12.324612173913042,194.9,True
23,Travis,gen15_elite0,Dylan Sampson,RB,11.396130476173683,79.3,True
23,Travis,gen15_elite0,Joe Burrow,QB,148.01,282.7,False
24,Brad,gen15_elite0,Jaxon Smith-Njigba,WR,31.0,253.78,True
24,Brad,gen15_elite0,Tyler Warren,TE,11.0,162.68,True
24,Brad,gen15_elite0,Alec Pierce,WR,11.0,154.64,True
24,Brad,gen15_elite0,Daniel Jones,QB,1.0,223.84,False
24,Brad,gen15_elite0,Jordan Mason,RB,27.0,137.2,True
24,Brad,gen15_elite0,James Cook,RB,24.379130434782606,234.4,True
24,Brad,gen15_elite0,Garrett Wilson,WR,21.0,163.37,True
24,Brad,gen15_elite0,Jaylen Waddle,WR,21.0,177.9,True
24,Brad,gen15_elite0,Jalen Hurts,QB,21.836521739130433,297.46,False
24,Brad,gen15_elite0,Zach Charbonnet,RB,17.612366524160986,107.61,False
24,Brad,gen15_elite0,Josh Allen,QB,15.64,328.82,True
24,Brad,gen15_elite0,Drake Maye,QB,16.436638608695652,296.32,False
24,Brad,gen15_elite0,Lamar Jackson,QB,15.763260869565217,289.92,False
24,Brad,gen15_elite0,Bill Croskey-Merritt,RB,12.170113149209914,459.64799999999997,True
24,Brad,gen15_elite0,Matthew Golden,WR,153.16,127.74,False
25,Brandon,gen15_elite0,Jonathan Taylor,RB,51.0,256.35,True
25,Brandon,gen15_elite0,Justin Jefferson,WR,46.0,221.18,True
25,Brandon,gen15_elite0,Breece Hall,RB,31.0,201.5,True
25,Brandon,gen15_elite0,Brock Bowers,TE,16.0,177.91,True
25,Brandon,gen15_elite0,Christian McCaffrey,RB,46.0,265.35,True
25,Brandon,gen15_elite0,Cam Skattebo,RB,28.0,186.4,True
25,Brandon,gen15_elite0,Rashee Rice,WR,13.0,197.11,True
25,Brandon,gen15_elite0,Drake Maye,QB,18.230652173913043,296.32,False
25,Brandon,gen15_elite0,Mike Evans,WR,11.409504725790653,164.95,False
25,Brandon,gen15_elite0,Josh Allen,QB,11.378633043478262,328.82,True
25,Brandon,gen15_elite0,Tucker Kraft,TE,9.443404665785618,143.34,False
25,Brandon,gen15_elite0,Davante Adams,WR,8.197356521739131,161.35,False
25,Brandon,gen15_elite0,JK Dobbins,RB,8.071636221146663,134.15,False
25,Brandon,gen15_elite0,Bill Croskey-Merritt,RB,7.4343916443709235,459.64799999999997,True
25,Brandon,gen15_elite0,Lamar Jackson,QB,94.84,289.92,False
26,CJ,gen15_elite0,Ja'Marr Chase,WR,46.0,266.33,True
26,CJ,gen15_elite0,Chase Brown,RB,31.0,227.25,True
26,CJ,gen15_elite0,Omarion Hampton,RB,11.0,205.65,True
26,CJ,gen15_elite0,D'Andre Swift,RB,52.0,180.15,True
26,CJ,gen15_elite0,Parker Washington,WR,11.0,162.09,False
26,CJ,gen15_elite0,Tee Higgins,WR,18.95725049134969,181.9,True
26,CJ,gen15_elite0,Brian Robinson Jr,RB,16.738228441529756,77.14,False
26,CJ,gen15_elite0,Josh Allen,QB,16.659078695652177,328.82,True
26,CJ,gen15_elite0,Jalen Hurts,QB,16.0,297.46,False
26,CJ,gen15_elite0,CJ Stroud,QB,15.40898382608696,245.14,False
26,CJ,gen15_elite0,Drake Maye,QB,15.750974652173918,296.32,False
26,CJ,gen15_elite0,Garrett Wilson,WR,10.528775652173914,163.37,False
26,CJ,gen15_elite0,TJ Hockenson,TE,10.037071612576902,103.35,True
26,CJ,gen15_elite0,Nick Chubb,RB,9.252708149984095,372.09599999999995,True
26,CJ,gen15_elite0,Amon-Ra St Brown,WR,119.66,247.22,True
27,Coby,gen15_elite0,Derrick Henry,RB,51.0,227.4,False
27,Coby,gen15_elite0,Kyren Williams,RB,31.0,196.2,False
27,Coby,gen15_elite0,TreVeyon Henderson,RB,11.0,158.6,False
27,Coby,gen15_elite0,Quinshon Judkins,RB,11.0,177.8,False
27,Coby,gen15_elite0,Drake Maye,QB,39.63076540658534,296.32,False
27,Coby,gen15_elite0,Jalen Hurts,QB,32.0,297.46,False
27,Coby,gen15_elite0,Josh Allen,QB,17.703394782608697,328.82,False
27,Coby,gen15_elite0,Nick Chubb,RB,13.171659130434783,372.09599999999995,False
27,Coby,gen15_elite0,JK Dobbins,RB,13.161460869565218,134.15,False
27,Coby,gen15_elite0,Lamar Jackson,QB,13.375440000000003,289.92,False
27,Coby,gen15_elite0,CJ Stroud,QB,10.571695304347827,245.14,False
27,Coby,gen15_elite0,Jayden Daniels,QB,10.07,293.28,False
27,Coby,gen15_elite0,Kenneth Walker,RB,10.0,217.65,False
27,Coby,gen15_elite0,Quentin Johnston,WR,8.851717391304348,125.4,False
27,Coby,gen15_elite0,Joe Burrow,QB,127.47,282.7,False
28,Evan,gen15_elite0,Drake London,WR,36.0,221.3,True
28,Evan,gen15_elite0,Saquon Barkley,RB,46.0,222.8,True
28,Evan,gen15_elite0,George Pickens,WR,41.0,209.94,True
28,Evan,gen15_elite0,Puka Nacua,WR,31.0,256.87,True
28,Evan,gen15_elite0,Emeka Egbuka,WR,11.0,166.25,True
28,Evan,gen15_elite0,Drake Maye,QB,35.69314198944504,296.32,False
28,Evan,gen15_elite0,Josh Allen,QB,17.64243260869565,328.82,True
28,Evan,gen15_elite0,Jameson Williams,WR,12.78960347826087,156.45,False
28,Evan,gen15_elite0,TJ Hockenson,TE,10.857008695652175,103.35,True
28,Evan,gen15_elite0,Mike Evans,WR,11.248753913043478,164.95,False
28,Evan,gen15_elite0,Bill Croskey-Merritt,RB,10.837549242586695,459.64799999999997,True
28,Evan,gen15_elite0,Lamar Jackson,QB,9.462747826086957,289.92,False
28,Evan,gen15_elite0,AJ Brown,WR,9.251584492372835,194.9,True
28,Evan,gen15_elite0,JK Dobbins,RB,8.44777391304348,134.15,False
28,Evan,gen15_elite0,Jalen Hurts,QB,108.77,297.46,False
29,James,gen15_elite0,Zay Flowers,WR,31.0,205.23,True
29,James,gen15_elite0,Colston Loveland,TE,11.0,157.08,True
29,James,gen15_elite0,Wan'Dale Robinson,WR,11.0,133.19,False
29,James,gen15_elite0,Rico Dowdle,RB,13.0,157.15,True
29,James,gen15_elite0,Josh Allen,QB,23.789565217391306,328.82,True
29,James,gen15_elite0,Jalen Hurts,QB,29.40217391304348,297.46,False
29,James,gen15_elite0,Drake Maye,QB,28.414596873719244,296.32,False
29,James,gen15_elite0,TJ Hockenson,TE,16.732173913043475,103.35,False
29,James,gen15_elite0,Garrett Wilson,WR,17.0,163.37,True
29,James,gen15_elite0,James Cook,RB,16.347250696418932,234.4,True
